11	64
32	32
2	3	30	30	2	3	30	30	1	1	4	1	1	1	0	0	0	0	2	3	22	23	2	3	1	1	2	3	22	23	2	3	5	6	1	1	1	1	10	11	1	1	2	3	22	23	2	3	1	1	2	3	1	1	2	3	1	1	2	3	22	23	0	0	
2	3	30	30	2	3	30	30	7	4	5	6	12	13	0	0	0	0	2	3	1	1	2	3	24	25	2	3	1	1	2	3	8	9	1	1	1	1	1	1	24	25	2	3	8	9	2	3	1	1	2	3	1	1	2	3	24	25	2	3	17	16	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	2	3	22	23	2	3	1	1	2	3	10	11	1	1	1	1	1	1	22	23	2	3	10	11	2	3	1	1	2	3	1	1	0	0	22	23	2	3	5	6	0	0	
28	29	26	27	28	29	26	27	2	3	1	1	1	1	8	9	15	16	2	3	12	13	2	3	12	13	2	3	12	13	2	3	1	1	1	1	24	25	12	13	1	1	2	3	17	16	2	3	12	13	2	3	24	25	2	3	12	13	2	3	5	6	0	0	
2	3	30	30	2	3	30	30	2	3	1	1	1	1	10	11	18	19	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	22	23	0	0	1	1	2	3	5	6	0	0	0	0	0	0	22	23	2	3	0	0	0	0	0	0	0	0	
2	3	32	32	2	3	32	32	2	3	1	1	5	6	12	13	20	21	2	3	8	9	28	29	26	27	28	29	26	27	28	29	1	1	1	1	1	1	28	29	17	16	33	34	26	27	28	29	26	27	2	3	5	6	33	34	26	27	28	29	26	27	0	0	
2	3	32	32	2	3	32	32	2	3	1	1	0	0	0	0	0	0	0	0	10	11	2	3	30	30	2	3	30	30	2	3	1	1	1	1	1	1	2	3	5	6	2	3	30	30	2	3	30	30	2	3	0	0	2	3	30	30	2	3	30	30	0	0	
2	3	32	32	2	3	32	32	2	3	0	0	0	0	0	0	0	0	33	34	24	25	2	3	1	1	2	3	1	1	2	3	5	6	24	25	12	13	2	3	35	36	2	3	5	6	2	3	12	13	2	3	12	13	2	3	12	13	2	3	12	13	0	0	
2	3	32	32	2	3	32	32	2	3	0	0	0	0	0	0	0	0	2	3	22	23	2	3	1	1	2	3	1	1	0	0	0	0	22	23	0	0	0	0	37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	3	32	39	2	3	32	39	2	3	0	0	0	0	0	0	0	0	2	3	7	4	0	0	8	9	0	0	26	27	28	29	26	27	30	30	26	27	28	29	30	30	28	29	26	27	28	29	26	27	28	29	26	27	28	29	26	27	28	29	26	27	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	1	33	40	10	11	33	40	30	30	2	3	30	30	30	30	30	30	2	3	30	30	2	3	30	30	2	3	30	30	2	3	30	30	2	3	30	30	2	3	30	30	0	0	
