11	48
32	32
1	1	2	3	1	1	2	3	1	1	2	3	1	1	2	3	0	1	22	23	10	11	2	3	1	1	10	11	22	23	1	1	2	3	1	1	22	23	2	3	1	1	1	1	22	23	0	0	
1	1	2	3	1	1	2	3	1	1	2	3	1	1	2	3	15	16	8	9	1	1	2	3	17	16	24	25	1	1	1	1	2	3	24	25	1	1	2	3	17	16	24	25	1	1	0	0	
1	1	2	3	1	1	2	3	1	1	2	3	1	1	2	3	18	19	10	11	1	1	2	3	5	6	22	23	1	1	1	1	2	3	22	23	1	1	2	3	5	6	22	23	1	1	0	0	
12	13	2	3	5	6	2	3	5	6	2	3	12	13	2	3	20	21	1	1	24	25	2	3	5	6	1	1	12	13	12	13	2	3	8	9	1	1	2	3	5	6	12	13	1	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	22	23	0	0	0	0	1	1	0	0	0	0	0	0	10	11	1	1	0	0	0	0	0	0	1	1	0	0	
26	27	28	29	26	27	28	29	26	27	28	29	26	27	0	0	0	1	1	1	5	6	2	3	0	0	1	1	1	1	0	0	0	1	12	13	17	16	0	0	8	9	17	16	1	1	0	0	
30	30	2	3	30	30	2	3	30	30	2	3	30	30	0	0	0	1	1	1	0	0	2	3	0	0	1	1	1	1	0	0	0	1	0	0	5	6	0	0	10	11	5	6	14	0	0	0	
24	25	2	3	24	25	2	3	24	25	2	3	24	25	0	0	0	1	24	25	8	9	2	3	0	0	1	1	24	25	0	0	0	1	1	1	5	6	0	0	1	1	7	4	2	3	0	0	
22	23	2	3	22	23	2	3	22	23	2	3	22	23	0	0	0	1	22	23	10	11	2	3	0	0	1	1	22	23	0	0	0	1	1	1	0	0	0	0	1	1	4	1	2	3	0	0	
1	1	2	3	8	9	2	3	1	1	2	3	8	9	0	0	0	1	17	16	1	1	2	3	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	7	4	1	1	2	3	0	0	
1	1	2	3	10	11	2	3	1	1	2	3	10	11	0	0	0	1	5	6	1	1	2	3	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	4	1	1	1	2	3	0	0	
