12	32
32	32
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
45	113	65	136	137	8	45	113	8	8	8	8	45	113	8	8	45	113	8	8	51	52	65	136	137	8	8	8	51	52	128	129	
51	52	65	65	136	137	51	79	8	8	8	8	51	79	8	8	51	52	8	8	51	52	65	65	136	137	8	8	51	52	128	129	
51	52	65	65	65	136	88	79	8	8	8	8	88	79	8	8	51	52	8	8	51	52	65	65	65	136	137	8	51	52	128	129	
51	79	65	65	65	65	102	102	8	8	8	8	51	79	8	8	51	52	8	8	51	52	65	65	65	65	136	137	51	52	128	129	
88	79	65	65	65	65	45	113	8	8	8	8	88	79	8	8	51	52	8	8	51	52	65	65	65	65	65	136	51	52	128	129	
102	102	102	102	102	102	102	102	102	102	102	102	102	102	8	8	102	102	8	8	102	102	102	102	102	102	102	102	102	102	128	129	
45	113	138	139	138	139	45	113	140	141	138	139	45	113	8	8	45	113	8	8	45	113	138	139	138	139	138	139	45	113	128	129	
51	79	8	8	8	8	51	79	142	143	144	144	51	52	8	145	51	52	8	145	51	52	144	144	8	145	8	8	51	52	102	102	
88	79	8	8	8	8	88	79	8	8	144	144	51	52	146	147	51	52	146	147	51	52	144	144	146	147	8	8	51	52	138	139	
148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	102	102	148	149	
150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	45	113	150	151	
