0	702	768	16	1536	32
1	702	112	208	224	32
2	702	432	144	352	32
3	702	1376	80	64	32
4	702	1488	144	96	32
5	712	1520	80	32	96
6	712	1520	304	32	96
7	705	1520	208	32	96
8	701	639	177	32	32
9	701	1440	112	32	32
10	1001	30	257	33	62
11	616	61	140	15	31
12	616	188	272	15	31
13	616	317	208	15	31
14	616	444	273	15	31
15	616	574	81	15	31
16	616	826	81	15	31
17	616	952	79	15	31
18	616	1073	140	15	31
19	616	1203	83	15	31
20	616	1464	113	15	31
21	401	1255	291	91	45
22	704	272	176	32	32
23	701	261	240	32	32
24	713	224	240	32	32
25	701	225	176	32	32
26	713	606	176	32	32
27	704	720	48	32	32
28	714	1392	112	32	32
29	703	1440	178	32	32
30	706	1326	229	32	128
31	701	1405	177	32	32
32	701	1312	110	32	32
33	706	1326	97	32	128
34	201	571	194	31	63
35	201	528	193	31	63
36	201	476	193	31	63
37	201	801	64	31	63
38	201	863	65	31	63
39	201	926	64	31	63
40	611	711	145	15	31
41	614	1349	146	15	31
