ID,ID_Image,Name,Width,Height,Vx,Vy,ColumnFrame,TotalFrame,ElaspTime,aY,HP,lamda,k
201,1002,Zombie,34,64,80,100,2,2,0.15,300,2
202,1003,BlackLeopard,64,32,180,300,4,4,0.15,800,1,200,200
203,1004,VampireBat,32,32,160,80,4,4,0.15,300,1,200,50
204,1005,Medusa,32,32,140,100,2,2,0.15,300,1,200,150
205,1006,FishMan,33,64,80,600,3,3,0.15,600,1
206,1007,AxeMan,44,60,50,0,2,2,0.15,0,2
207,1008,DragonSkullCannon,32,64,0,0,1,1,0.15,0,4
208,1009,BlackKnight,32,64,50,50,4,4,0.15,0,3
209,1010,WhiteSkeleton,34,64,50,50,4,4,0.15,0,1
210,1011,Ghost,28,28,80,80,2,2,0.15,0,1
211,1211,FireBall,14,12,150,150,1,1,0,0,1
212,1211,Bulet,14,12,150,0,1,1,0,0,1
401,1401,BossLevel1,96,46,150,150,3,3,0.2,600,16
402,1402,BossLevel2,65,64,150,150,5,5,0.15,0,16
