0	702	224	176	448	32
1	702	224	240	64	32
2	702	544	176	64	32
3	702	800	176	320	32
4	702	928	48	64	32
5	702	992	112	64	32
6	706	817	224	32	64
7	706	818	287	32	64
8	1001	141	354	33	62
9	616	65	304	15	31
10	616	196	304	15	31
11	616	315	305	15	31
12	616	442	305	15	31
13	616	565	305	15	31
14	616	694	305	15	31
15	616	842	304	15	31
16	616	983	305	15	31
17	205	124	33	31	63
18	205	237	33	31	63
19	205	397	33	31	63
20	205	520	32	31	63
21	205	663	32	31	63
22	205	808	32	31	63
23	704	176	272	32	32
24	701	293	271	32	32
25	701	143	268	32	32
26	701	482	208	32	32
27	701	608	207	32	32
28	704	879	208	32	32
29	701	860	81	32	32
30	701	923	143	32	32
31	701	995	207	32	32
32	712	1008	240	32	224
33	715	753	351	32	32
34	715	109	353	32	32
