11	32
32	32
45	89	65	145	146	8	45	89	8	8	8	8	45	89	8	8	45	89	8	8	51	52	65	145	146	8	8	8	51	52	131	132	
51	52	65	65	145	146	51	67	8	8	8	8	51	67	8	8	51	52	8	8	51	52	65	65	145	146	8	8	51	52	131	132	
51	52	65	65	65	145	66	67	8	8	8	8	66	67	8	8	51	52	8	8	51	52	65	65	65	145	146	8	51	52	131	132	
51	67	65	65	65	65	68	68	8	8	8	8	51	67	8	8	51	52	8	8	51	52	65	65	65	65	145	146	51	52	131	132	
66	67	65	65	65	65	45	89	8	8	8	8	66	67	8	8	51	52	8	8	51	52	65	65	65	65	65	145	51	52	131	132	
68	68	68	68	68	68	68	68	68	68	68	68	68	68	8	8	68	68	8	8	68	68	68	68	68	68	68	68	68	68	131	132	
45	89	147	148	147	148	45	89	149	150	147	148	45	89	8	8	45	89	8	8	45	89	147	148	147	148	147	148	45	89	131	132	
51	67	8	8	8	8	51	67	151	152	153	153	51	52	8	154	51	52	8	154	51	52	153	153	8	154	8	8	51	52	68	68	
66	67	8	8	8	8	66	67	8	8	153	153	51	52	155	156	51	52	155	156	51	52	153	153	155	156	8	8	51	52	147	148	
157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	157	158	68	68	157	158	
159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	159	160	45	89	159	160	
