11	112
32	32
49	50	51	52	53	54	49	50	49	50	51	52	53	54	49	50	49	50	51	52	55	56	49	50	49	50	51	52	53	54	49	50	57	58	51	52	53	54	57	58	49	50	49	50	49	50	49	50	51	52	53	54	59	59	51	52	60	61	49	50	49	50	57	58	51	52	57	58	51	52	57	58	51	52	57	58	51	52	49	50	57	58	49	50	60	61	60	61	49	50	59	59	51	52	62	63	64	65	65	65	65	65	51	52	65	65	65	65	65	65	65	65	
66	67	51	52	68	69	70	71	72	73	51	52	68	69	70	71	72	73	51	52	55	74	70	71	72	73	51	52	68	69	70	71	66	67	51	52	68	69	59	59	72	73	72	73	72	73	72	73	51	52	75	76	59	59	51	52	72	73	72	73	72	73	66	67	51	52	59	59	51	52	59	59	51	52	59	59	51	52	72	73	59	59	72	73	72	73	72	73	72	73	59	59	51	52	65	77	8	65	65	78	65	65	51	79	65	65	80	65	80	65	80	65	
60	61	51	52	81	82	57	58	49	50	51	52	81	82	57	58	49	50	51	52	53	54	57	58	49	50	51	52	81	82	57	58	60	61	51	52	81	82	59	59	49	50	49	50	49	50	49	50	51	52	83	84	59	59	51	52	49	50	49	50	49	50	60	61	51	52	59	59	51	52	59	59	51	52	59	59	51	52	49	50	59	59	49	50	49	50	49	50	49	50	59	59	51	52	65	85	8	65	86	87	65	65	88	79	65	65	65	65	65	65	65	65	
72	73	51	52	75	76	59	59	72	73	51	52	68	69	59	59	72	73	51	52	68	69	59	59	72	73	51	52	68	69	59	59	72	73	51	52	68	69	59	59	72	73	72	73	89	90	91	92	41	42	93	94	39	39	39	39	95	96	97	98	72	73	72	73	51	52	59	59	51	52	59	59	51	52	59	59	51	52	70	71	59	59	72	73	89	90	91	92	39	39	93	94	41	42	65	99	8	65	65	65	65	65	41	42	65	65	65	65	100	101	100	101	
49	50	51	52	83	84	59	59	49	50	51	52	81	82	59	59	49	50	51	52	81	82	59	59	49	50	51	52	81	82	59	59	49	50	51	52	81	82	59	59	49	50	49	50	102	91	103	104	104	104	104	104	104	104	104	104	104	105	106	107	49	50	49	50	51	52	59	59	51	52	59	59	51	52	59	59	51	52	57	58	59	59	49	50	102	91	103	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	65	65	65	65	8	108	8	108	
72	73	51	52	72	73	59	59	72	73	51	52	75	76	59	59	70	71	51	52	68	69	59	59	72	73	51	52	75	76	59	59	72	73	51	52	68	69	59	59	89	90	91	92	109	103	110	111	51	52	72	73	66	67	51	52	112	113	105	114	93	94	39	39	51	52	59	59	51	52	59	59	51	52	59	59	51	52	66	67	59	59	89	90	115	103	110	111	72	73	72	73	45	116	117	63	64	65	100	101	100	101	51	52	65	65	39	118	65	65	100	101	
49	50	51	52	49	50	59	59	49	50	51	52	83	84	59	59	57	58	51	52	81	82	59	59	49	50	51	52	83	84	59	59	49	50	51	52	81	82	59	59	102	91	103	104	104	104	119	120	51	52	49	50	60	61	51	52	121	122	104	104	104	104	104	104	51	52	59	59	51	52	59	59	51	52	59	59	51	52	60	61	59	59	102	91	103	123	119	120	49	50	49	50	51	52	62	63	64	65	8	108	8	108	51	52	104	104	104	124	125	126	8	108	
72	73	51	52	72	73	59	59	70	71	51	52	72	73	59	59	66	67	51	52	75	76	59	59	72	73	51	52	72	73	59	59	66	67	51	52	75	76	89	90	115	103	110	111	70	71	72	73	51	52	72	73	72	73	51	52	72	73	51	52	70	71	70	71	51	52	59	59	51	52	59	59	51	52	59	59	51	52	70	71	89	90	115	103	110	111	70	71	72	73	72	73	51	52	117	63	64	65	65	65	65	65	51	79	100	101	51	52	105	118	65	65	
49	50	51	52	49	50	59	59	57	58	51	52	49	50	59	59	60	61	51	52	83	84	59	59	49	50	51	52	49	50	59	59	60	61	51	52	83	84	102	91	103	123	119	120	57	58	49	50	51	52	49	50	49	50	51	52	49	50	51	52	57	58	57	58	51	52	59	59	51	52	59	59	51	52	59	59	51	52	57	58	102	91	103	123	119	120	57	58	49	50	49	50	51	52	62	63	64	65	65	65	65	65	88	79	8	108	51	52	127	105	125	126	
93	94	41	42	93	94	93	94	93	94	41	42	93	94	93	94	93	94	41	42	93	94	93	94	93	94	41	42	93	94	93	94	93	94	41	42	93	94	109	103	93	94	93	94	93	94	93	94	41	42	93	94	93	94	41	42	93	94	41	42	93	94	93	94	41	42	93	94	41	42	93	94	41	42	93	94	41	42	93	94	109	103	93	94	93	94	93	94	93	94	93	94	41	42	128	63	64	65	39	118	65	65	41	42	65	65	41	42	65	129	105	130	
104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	124	104	104	104	104	104	104	104	104	104	104	104	104	
