12	32
32	32
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
45	116	65	136	137	8	45	116	8	8	8	8	45	116	8	8	45	116	8	8	51	52	65	136	137	8	8	8	51	52	133	134	
51	52	65	65	136	137	51	79	8	8	8	8	51	79	8	8	51	52	8	8	51	52	65	65	136	137	8	8	51	52	133	134	
51	52	65	65	65	136	88	79	8	8	8	8	88	79	8	8	51	52	8	8	51	52	65	65	65	136	137	8	51	52	133	134	
51	79	65	65	65	65	104	104	8	8	8	8	51	79	8	8	51	52	8	8	51	52	65	65	65	65	136	137	51	52	133	134	
88	79	65	65	65	65	45	116	8	8	8	8	88	79	8	8	51	52	8	8	51	52	65	65	65	65	65	136	51	52	133	134	
104	104	104	104	104	104	104	104	104	104	104	104	104	104	8	8	104	104	8	8	104	104	104	104	104	104	104	104	104	104	133	134	
45	116	138	139	138	139	45	116	140	141	138	139	45	116	8	8	45	116	8	8	45	116	138	139	138	139	138	139	45	116	133	134	
51	79	8	8	8	8	51	79	142	143	144	144	51	52	8	145	51	52	8	145	51	52	144	144	8	145	8	8	51	52	104	104	
88	79	8	8	8	8	88	79	8	8	144	144	51	52	146	147	51	52	146	147	51	52	144	144	146	147	8	8	51	52	138	139	
148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	148	149	104	104	148	149	
150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	150	151	45	116	150	151	
