11	48
32	32
49	50	49	50	51	52	60	61	49	50	51	52	57	58	49	50	51	52	53	54	119	120	152	153	49	50	154	155	51	52	152	153	49	50	154	155	51	52	152	153	49	50	55	56	57	58	62	63	
72	73	66	67	51	52	72	73	72	73	51	52	59	59	72	73	51	52	68	69	66	67	72	73	45	113	156	157	51	52	158	159	45	113	156	157	51	52	158	159	45	113	55	74	59	59	114	63	
49	50	60	61	51	52	49	50	49	50	51	52	59	59	49	50	51	52	81	82	60	61	49	50	51	52	154	155	51	52	152	153	51	52	154	155	51	52	152	153	51	52	53	54	59	59	62	63	
93	94	39	39	39	39	95	96	97	98	51	52	59	59	72	73	51	52	75	76	72	73	72	73	51	52	72	73	51	52	72	73	51	52	72	73	51	52	70	71	51	52	75	76	59	59	65	77	
102	102	102	102	102	102	102	103	104	105	51	52	59	59	49	50	51	52	83	84	49	50	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	57	58	51	52	83	84	59	59	65	85	
55	74	72	73	45	113	109	110	103	111	39	39	93	94	39	39	39	39	95	96	97	98	72	73	51	52	72	73	51	52	72	73	51	52	72	73	51	52	66	67	51	52	89	90	91	92	65	99	
53	54	49	50	51	52	119	120	102	102	102	102	102	102	102	102	102	102	102	103	104	105	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	60	61	51	52	100	91	101	102	102	102	
75	76	72	73	51	52	72	73	70	71	51	52	66	67	51	52	66	67	109	110	103	104	97	98	51	52	72	73	51	52	72	73	51	52	72	73	51	52	72	73	51	52	106	101	107	108	114	63	
83	84	49	50	51	52	49	50	57	58	51	52	60	61	51	52	60	61	119	120	160	103	104	105	51	52	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	102	102	117	118	62	63	
93	94	93	94	41	42	93	94	93	94	41	42	93	94	41	42	93	94	93	94	93	94	103	111	41	42	93	94	41	42	93	94	41	42	93	94	41	42	93	94	41	42	93	94	93	94	123	63	
102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	
