11	38
50	50
65	65	65	65	65	51	52	65	65	65	65	65	65	65	65	88	79	65	65	88	79	65	65	65	65	65	65	65	65	102	102	49	50	49	50	51	52	60	
65	65	78	65	65	51	79	65	65	80	65	80	65	80	65	51	79	65	78	51	52	65	65	65	65	80	65	80	65	65	77	72	73	66	67	51	52	72	
65	86	87	65	65	88	79	65	65	65	65	65	65	65	65	88	79	86	87	51	52	65	65	65	65	65	65	65	65	65	85	49	50	60	61	51	52	49	
65	65	65	65	65	41	42	65	65	65	65	115	116	115	116	51	52	115	116	51	52	65	65	65	78	65	65	65	65	65	99	93	94	39	39	39	39	95	
102	102	102	102	102	102	102	65	65	65	65	8	122	8	122	51	52	8	122	51	52	65	65	86	87	102	102	102	102	102	102	102	102	102	102	102	102	102	
65	115	116	115	116	51	52	65	65	39	124	65	65	115	116	126	127	126	127	102	102	65	65	39	124	65	65	65	78	128	129	55	74	72	73	45	113	109	
65	8	122	8	122	51	52	102	102	102	125	130	131	8	122	127	127	127	127	45	113	102	102	102	125	130	131	86	87	128	129	53	54	49	50	51	52	119	
65	65	65	65	65	51	79	115	116	51	52	103	124	65	65	126	127	126	127	51	79	115	116	51	52	103	124	65	65	128	129	75	76	72	73	51	52	72	
65	65	65	65	65	88	79	8	122	51	52	132	103	130	131	127	127	127	127	88	79	8	122	51	52	132	103	130	131	128	129	83	84	49	50	51	52	49	
65	39	124	65	65	41	42	65	65	41	42	65	133	103	134	126	127	126	127	41	42	39	124	41	42	65	133	103	134	135	129	93	94	93	94	41	42	93	
102	102	125	102	102	102	102	102	102	102	102	102	102	102	102	127	127	127	127	102	102	102	125	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	
