11	176
32	32
49	50	51	52	53	54	49	50	49	50	51	52	53	54	49	50	49	50	51	52	55	56	49	50	49	50	51	52	53	54	49	50	57	58	51	52	53	54	57	58	49	50	49	50	49	50	49	50	51	52	53	54	59	59	51	52	60	61	49	50	49	50	57	58	51	52	57	58	51	52	57	58	51	52	57	58	51	52	49	50	57	58	49	50	60	61	60	61	49	50	59	59	51	52	62	63	64	65	65	65	65	65	51	52	65	65	65	65	65	65	65	65	66	67	65	65	66	67	65	65	65	65	65	65	65	65	68	68	49	50	49	50	51	52	60	61	49	50	51	52	57	58	49	50	51	52	53	54	69	70	71	72	49	50	73	74	51	52	71	72	49	50	73	74	51	52	71	72	49	50	55	56	57	58	62	63	
75	76	51	52	77	78	79	80	81	82	51	52	77	78	79	80	81	82	51	52	55	83	79	80	81	82	51	52	77	78	79	80	75	76	51	52	77	78	59	59	81	82	81	82	81	82	81	82	51	52	84	85	59	59	51	52	81	82	81	82	81	82	75	76	51	52	59	59	51	52	59	59	51	52	59	59	51	52	81	82	59	59	81	82	81	82	81	82	81	82	59	59	51	52	65	86	8	65	65	87	65	65	51	67	65	65	88	65	88	65	88	65	51	67	65	87	51	52	65	65	65	65	88	65	88	65	65	86	81	82	75	76	51	52	81	82	81	82	51	52	59	59	81	82	51	52	77	78	75	76	81	82	45	89	90	91	51	52	92	93	45	89	90	91	51	52	92	93	45	89	55	83	59	59	94	63	
60	61	51	52	95	96	57	58	49	50	51	52	95	96	57	58	49	50	51	52	53	54	57	58	49	50	51	52	95	96	57	58	60	61	51	52	95	96	59	59	49	50	49	50	49	50	49	50	51	52	97	98	59	59	51	52	49	50	49	50	49	50	60	61	51	52	59	59	51	52	59	59	51	52	59	59	51	52	49	50	59	59	49	50	49	50	49	50	49	50	59	59	51	52	65	99	8	65	100	101	65	65	66	67	65	65	65	65	65	65	65	65	66	67	100	101	51	52	65	65	65	65	65	65	65	65	65	99	49	50	60	61	51	52	49	50	49	50	51	52	59	59	49	50	51	52	95	96	60	61	49	50	51	52	73	74	51	52	71	72	51	52	73	74	51	52	71	72	51	52	53	54	59	59	62	63	
81	82	51	52	84	85	59	59	81	82	51	52	77	78	59	59	81	82	51	52	77	78	59	59	81	82	51	52	77	78	59	59	81	82	51	52	77	78	59	59	81	82	81	82	102	103	104	105	41	42	106	107	39	39	39	39	108	109	110	111	81	82	81	82	51	52	59	59	51	52	59	59	51	52	59	59	51	52	79	80	59	59	81	82	102	103	104	105	39	39	106	107	41	42	65	112	8	65	65	65	65	65	41	42	65	65	65	65	113	114	113	114	51	52	113	114	51	52	65	65	65	87	65	65	65	65	65	112	106	107	39	39	39	39	108	109	110	111	51	52	59	59	81	82	51	52	84	85	81	82	81	82	51	52	81	82	51	52	81	82	51	52	81	82	51	52	79	80	51	52	84	85	59	59	65	86	
49	50	51	52	97	98	59	59	49	50	51	52	95	96	59	59	49	50	51	52	95	96	59	59	49	50	51	52	95	96	59	59	49	50	51	52	95	96	59	59	49	50	49	50	115	104	116	68	68	68	68	68	68	68	68	68	68	117	118	119	49	50	49	50	51	52	59	59	51	52	59	59	51	52	59	59	51	52	57	58	59	59	49	50	115	104	116	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	65	65	65	65	8	120	8	120	51	52	8	120	51	52	65	65	100	101	68	68	68	68	68	68	68	68	68	68	68	68	68	117	118	119	51	52	59	59	49	50	51	52	97	98	49	50	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	57	58	51	52	97	98	59	59	65	99	
81	82	51	52	81	82	59	59	81	82	51	52	84	85	59	59	79	80	51	52	77	78	59	59	81	82	51	52	84	85	59	59	81	82	51	52	77	78	59	59	102	103	104	105	121	116	122	123	51	52	81	82	75	76	51	52	124	125	117	126	106	107	39	39	51	52	59	59	51	52	59	59	51	52	59	59	51	52	75	76	59	59	102	103	127	116	122	123	81	82	81	82	45	89	94	63	64	65	113	114	113	114	51	52	65	65	39	128	65	65	113	114	129	130	129	130	68	68	65	65	39	128	65	65	65	87	131	132	55	83	81	82	45	89	124	125	117	126	39	39	106	107	39	39	39	39	108	109	110	111	81	82	51	52	81	82	51	52	81	82	51	52	81	82	51	52	75	76	51	52	102	103	104	105	65	112	
49	50	51	52	49	50	59	59	49	50	51	52	97	98	59	59	57	58	51	52	95	96	59	59	49	50	51	52	97	98	59	59	49	50	51	52	95	96	59	59	115	104	116	68	68	68	133	134	51	52	49	50	60	61	51	52	69	70	68	68	68	68	68	68	51	52	59	59	51	52	59	59	51	52	59	59	51	52	60	61	59	59	115	104	116	135	133	134	49	50	49	50	51	52	62	63	64	65	8	120	8	120	51	52	68	68	68	136	137	138	8	120	130	130	130	130	45	89	68	68	68	136	137	138	100	101	131	132	53	54	49	50	51	52	69	70	68	68	68	68	68	68	68	68	68	68	68	117	118	119	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	60	61	51	52	115	104	116	68	68	68	
81	82	51	52	81	82	59	59	79	80	51	52	81	82	59	59	75	76	51	52	84	85	59	59	81	82	51	52	81	82	59	59	75	76	51	52	84	85	102	103	127	116	122	123	79	80	81	82	51	52	81	82	81	82	51	52	81	82	51	52	79	80	79	80	51	52	59	59	51	52	59	59	51	52	59	59	51	52	79	80	102	103	127	116	122	123	79	80	81	82	81	82	51	52	94	63	64	65	65	65	65	65	51	67	113	114	51	52	117	128	65	65	129	130	129	130	51	67	113	114	51	52	117	128	65	65	131	132	84	85	81	82	51	52	81	82	79	80	51	52	75	76	51	52	75	76	124	125	117	118	110	111	51	52	81	82	51	52	81	82	51	52	81	82	51	52	81	82	51	52	121	116	122	123	94	63	
49	50	51	52	49	50	59	59	57	58	51	52	49	50	59	59	60	61	51	52	97	98	59	59	49	50	51	52	49	50	59	59	60	61	51	52	97	98	115	104	116	135	133	134	57	58	49	50	51	52	49	50	49	50	51	52	49	50	51	52	57	58	57	58	51	52	59	59	51	52	59	59	51	52	59	59	51	52	57	58	115	104	116	135	133	134	57	58	49	50	49	50	51	52	62	63	64	65	65	65	65	65	66	67	8	120	51	52	139	117	137	138	130	130	130	130	66	67	8	120	51	52	139	117	137	138	131	132	97	98	49	50	51	52	49	50	57	58	51	52	60	61	51	52	60	61	69	70	140	117	118	119	51	52	49	50	51	52	49	50	51	52	49	50	51	52	49	50	51	52	68	68	133	134	62	63	
106	107	41	42	106	107	106	107	106	107	41	42	106	107	106	107	106	107	41	42	106	107	106	107	106	107	41	42	106	107	106	107	106	107	41	42	106	107	121	116	106	107	106	107	106	107	106	107	41	42	106	107	106	107	41	42	106	107	41	42	106	107	106	107	41	42	106	107	41	42	106	107	41	42	106	107	41	42	106	107	121	116	106	107	106	107	106	107	106	107	106	107	41	42	141	63	64	65	39	128	65	65	41	42	65	65	41	42	65	142	117	143	129	130	129	130	41	42	39	128	41	42	65	142	117	143	144	132	106	107	106	107	41	42	106	107	106	107	41	42	106	107	41	42	106	107	106	107	106	107	117	126	41	42	106	107	41	42	106	107	41	42	106	107	41	42	106	107	41	42	106	107	106	107	141	63	
68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	136	68	68	68	68	68	68	68	68	68	68	68	68	130	130	130	130	68	68	68	136	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	
