11	51
32	32
64	65	65	65	65	65	51	52	65	65	65	65	65	65	65	65	88	79	65	65	88	79	65	65	65	65	65	65	65	65	104	104	49	50	49	50	51	52	60	61	49	50	51	52	57	58	49	50	51	52	53	
8	65	65	78	65	65	51	79	65	65	80	65	80	65	80	65	51	79	65	78	51	52	65	65	65	65	80	65	80	65	65	77	72	73	66	67	51	52	72	73	72	73	51	52	59	59	72	73	51	52	68	
8	65	86	87	65	65	88	79	65	65	65	65	65	65	65	65	88	79	86	87	51	52	65	65	65	65	65	65	65	65	65	85	49	50	60	61	51	52	49	50	49	50	51	52	59	59	49	50	51	52	81	
8	65	65	65	65	65	41	42	65	65	65	65	100	101	100	101	51	52	100	101	51	52	65	65	65	78	65	65	65	65	65	99	93	94	39	39	39	39	95	96	97	98	51	52	59	59	72	73	51	52	75	
104	104	104	104	104	104	104	104	65	65	65	65	8	108	8	108	51	52	8	108	51	52	65	65	86	87	104	104	104	104	104	104	104	104	104	104	104	104	104	105	106	107	51	52	59	59	49	50	51	52	83	
64	65	100	101	100	101	51	52	65	65	39	118	65	65	100	101	131	132	131	132	104	104	65	65	39	118	65	65	65	78	133	134	55	74	72	73	45	116	112	113	105	114	39	39	93	94	39	39	39	39	95	
64	65	8	108	8	108	51	52	104	104	104	124	125	126	8	108	132	132	132	132	45	116	104	104	104	124	125	126	86	87	133	134	53	54	49	50	51	52	121	122	104	104	104	104	104	104	104	104	104	104	104	
64	65	65	65	65	65	51	79	100	101	51	52	105	118	65	65	131	132	131	132	51	79	100	101	51	52	105	118	65	65	133	134	75	76	72	73	51	52	72	73	70	71	51	52	66	67	51	52	66	67	112	
64	65	65	65	65	65	88	79	8	108	51	52	127	105	125	126	132	132	132	132	88	79	8	108	51	52	127	105	125	126	133	134	83	84	49	50	51	52	49	50	57	58	51	52	60	61	51	52	60	61	121	
64	65	39	118	65	65	41	42	65	65	41	42	65	129	105	130	131	132	131	132	41	42	39	118	41	42	65	129	105	130	135	134	93	94	93	94	41	42	93	94	93	94	41	42	93	94	41	42	93	94	93	
104	104	104	124	104	104	104	104	104	104	104	104	104	104	104	104	132	132	132	132	104	104	104	124	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	
